item,visualizacion_,tipo_alerta_,estado,fecha_evento,fecha_actualizacion,ubigeo,afectacion,evento,latitud,longitud,_sort_,_fecha_actualizacion_,cant_vehiculos_detenidos_pasajeros,cant_vehiculos_detenidos_mercancias,fuente,motivo,codigo_via,nombre_carretera,alerta_activa_24_horas,style
518,SI,VIGENTE,TRÁNSITO RESTRINGIDO,09/01/2023,27/03/2023 08:00 HORAS,PUNO/CARABAYA/AYAPATA,KM 352+800,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-13.181234,-70.382396,-13.181234+-70.382396,2023 08:00 HORAS+03+27+08:00,0,0,DESPRCAR PNP JULIACA (SAN GABAN)/CEOPOL,HUMANO,PE-30C,CARRETERA URCOS - MASUCO - IÑAPARI,SI,restringido
519,SI,VIGENTE,TRÁNSITO RESTRINGIDO,05/01/2023,27/03/2023 08:00 HORAS,PUNO/CARABAYA/MACUSANI,KM 180,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-14.0751132,-70.4104037,-14.0751132+-70.4104037,2023 08:00 HORAS+03+27+08:00,0,0,DESPRCAR PNP JULIACA/CEOPOL,HUMANO,PE-34B,VIA CALAPUJA - MACUSANI - LECHEMAYO,SI,restringido
515,SI,VIGENTE,TRÁNSITO RESTRINGIDO,05/01/2023,27/03/2023 08:00 HORAS,PUNO/AZANGARO/ASILLO,KM 99+500,(PUENTE PALMERA) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-14.580414,-70.329011,-14.580414+-70.329011,2023 08:00 HORAS+03+27+08:00,0,0,DESPRCAR PNP JULIACA/CEOPOL,HUMANO,PE-34B,VIA CALAPUJA - MACUSANI - LECHEMAYO,SI,restringido
512,SI,VIGENTE,TRÁNSITO RESTRINGIDO,04/01/2023,27/03/2023 08:00 HORAS,PUNO/AZANGARO/ASILLO,KM 71,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-14.7665132,-70.3099449,-14.7665132+-70.3099449,2023 08:00 HORAS+03+27+08:00,0,0,DESPRCAR PNP JULIACA/CEOPOL,HUMANO,PE-34B,VIA CALAPUJA - MACUSANI - LECHEMAYO,SI,restringido
544,SI,VIGENTE,TRÁNSITO RESTRINGIDO,04/01/2023,27/03/2023 08:00 HORAS,PUNO/LAMPA/PUCARA,KM 1251,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-15.04683526,-70.36483314,-15.04683526+-70.36483314,2023 08:00 HORAS+03+27+08:00,0,0,DESPRCAR PNP JULIACA/CEOPOL,HUMANO,PE-3S,LONGITUDINAL DE LA SIERRA SUR,SI,restringido
545,SI,VIGENTE,TRÁNSITO RESTRINGIDO,04/01/2023,27/03/2023 08:00 HORAS,PUNO/LAMPA/PUCARA,KM 1263+500,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-15.153773,-70.360735,-15.153773+-70.360735,2023 08:00 HORAS+03+27+08:00,0,0,DESPRCAR PNP JULIACA/CEOPOL,HUMANO,PE-3S,LONGITUDINAL DE LA SIERRA SUR,SI,restringido
543,SI,VIGENTE,TRÁNSITO RESTRINGIDO,04/01/2023,27/03/2023 08:00 HORAS,PUNO/LAMPA/NICASIO,KM 1280,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-15.27624595,-70.29066775,-15.27624595+-70.29066775,2023 08:00 HORAS+03+27+08:00,0,0,DESPRCAR PNP JULIACA/CEOPOL,HUMANO,PE-3S,LONGITUDINAL DE LA SIERRA SUR,SI,restringido
542,SI,VIGENTE,TRÁNSITO RESTRINGIDO,05/01/2023,27/03/2023 08:00 HORAS,PUNO/LAMPA/CALAPUJA,KM 1294,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-15.33267057,-70.18806539,-15.33267057+-70.18806539,2023 08:00 HORAS+03+27+08:00,0,0,DESPRCAR PNP JULIACA/CEOPOL,HUMANO,PE-3S,LONGITUDINAL DE LA SIERRA SUR,SI,restringido
574,SI,VIGENTE,TRÁNSITO RESTRINGIDO,04/01/2023,27/03/2023 08:00 HORAS,PUNO/SAN ROMAN/SAN MIGUEL,KM 04 Y KM 10,(SECTOR PUENTE INDEPENDENCIA Y CENTRO POBLADO AYABACAS) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-15.4604171,-70.10074852,-15.4604171+-70.10074852,2023 08:00 HORAS+03+27+08:00,0,0,DESPRCAR PNP JULIACA/CEOPOL,HUMANO,PE-34H,VIA JULIACA - PUTINA - SANDIA - AZATA,SI,restringido
571,SI,VIGENTE,TRÁNSITO RESTRINGIDO,04/01/2023,27/03/2023 08:00 HORAS,PUNO/SAN ROMAN/JULIACA,KM 1 AL KM 30,(VIA JULIACA-LAMPA - PE-3SQ) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-15.48538,-70.152617,-15.48538+-70.152617,2023 08:00 HORAS+03+27+08:00,0,0,DESPRCAR PNP JULIACA/CEOPOL,HUMANO,PU-124,VIA JULIACA-LAMPA,SI,restringido
